"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cn5zy626ldgo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0871/live/04c7bce0-7d96-11ef-bf4b-ef19cfbf3842.jpg.webp","Bold and fearless: Nigeria's latest star to headline in London","Ruger takes his distinctive twist on Afrobeats to the stage in the UK capital.","Africa"
"https://www.bbc.com/sport/articles/cq5d1depy7xo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/62fb/live/d14ec9e0-6a34-11ef-ba44-f9808517a85c.jpg.webp","ParalympicsGB win 30th gold on day six in Paris","Para-swimmer Faye Rogers wins ParalympicsGB's 30th gold among the team's six medals on day six at Paris 2024.","Disability Sport"
"https://www.bbc.com/sport/videos/c935zqxwg0go","8 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d127/live/42ded7c0-6e0f-11ef-8c32-f3c2bc7494c6.jpg.webp","Paris gold 'going to take a little while to sink in' - Sugar","Laura Sugar says her gold medal in the singles kayak at the Paris 2024 Paralympics is ""going to take a little while to sink in"".","Disability Sport"
"https://www.bbc.com/sport/swimming/articles/cn47rzj1pw0o","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2222/live/270c6fd0-6a27-11ef-b1b5-b3aeecf7a73c.jpg.webp","GB's Rogers pips team-mate Warrington to butterfly gold","Faye Rogers wins Paralympic gold in a thrilling S10 100m butterfly final, just pipping fellow Briton Callie-Ann Warrington.","Disability Sport"
"https://www.bbc.com/sport/articles/cq5d1depy7xo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/62fb/live/d14ec9e0-6a34-11ef-ba44-f9808517a85c.jpg.webp","ParalympicsGB win 30th gold on day six in Paris","Para-swimmer Faye Rogers wins ParalympicsGB's 30th gold among the team's six medals on day six at Paris 2024.","Disability Sport"
"https://www.bbc.com/sport/articles/cz73zndwd13o","8 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/09df/live/a8c894a0-6d55-11ef-9c52-992c4ecde515.jpg.webp","Clegg grabs 'once in a lifetime' gold as Paralympic dream comes true","Stephen Clegg reflects on his second gold medal of the Paralympics in Paris as the looks to emulate sister Libby.",""
"https://www.bbc.com/sport/football/videos/c5yj8pqzkxno","14 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8c62/live/5fe36c20-72bd-11ef-b02d-c5f3b724a1ea.jpg.webp","Frank angered by 'cold-blooded' and 'reckless' Kovacic tackle","Brentford manager Thomas Frank describes the tackle by Mateo Kovacic that injured Yoane Wissa in their 2-1 loss to Manchester City as ""cold-blooded"" and ""reckless"".","Premier League"
"https://www.bbc.com/sport/rugby-union/articles/c8rddml27pko","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/33c8/live/5eb0b3d0-7402-11ef-a3b7-b33008c79206.jpg.webp","Championship clubs 'left out in the cold' by PGP deal","Championship clubs fear for their financial future ahead of the reintroduction of promotion to the Premiership from 2025-26.","Rugby Union"
"https://www.bbc.com/sport/football/articles/clynp5j0pnyo","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7c41/live/c6aa1bd0-694d-11ef-b1ff-237e43844635.jpg.webp","Why free agents could be 'gold dust' to clubs","BBC Sport's Simon Stone visits a Professional Footballers' Association's pre-season training camp for out-of-contract players looking for new clubs.","Football"
"https://www.bbc.com/sport/videos/cwyw2v5x048o","1 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e722/live/583a5e80-6899-11ef-b43e-6916dcba5cbf.jpg.webp","Summers-Newton wins second gold of Paris Games","Great Britain's Maisie Summers-Newton wins gold in the SB6 100m breaststroke, her second victory of the 2024 Games.","Disability Sport"
"https://www.bbc.com/sport/articles/c86l2nde50eo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/993a/live/8da90f90-6afa-11ef-9607-b56d8a2cf3a5.jpg.webp","Kinghorn's gold caps dream Games on successful day for Scots","The Paralympics starts on Thursday with Scottish athletes involved right from the off as they look to start the ball rolling towards ParalympicsGB's target of 100-140 medals.","Disability Sport"
"https://www.bbc.com/news/articles/clylx8zdvy1o","31 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/627a/live/4cbafe60-66e2-11ef-9d79-b5e400136cdf.jpg.webp","Pregnant archer shares hopes for Paralympics gold","Jodie Grinham, from Crawley, won Silver at the 2016 Paralympics in Rio and is hoping to beat that.","Sussex"
"https://www.bbc.com/sport/articles/c4gexdg39ygo","1 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1b1d/live/a767ac40-684b-11ef-b8dc-abfd3bd18712.jpg.webp","GB claim three gold medals in Para-rowing","Great Britain's Lauren Rowles and Gregg Stevenson claim thrilling mixed sculls Paralympic gold.","Disability Sport"
"https://www.bbc.com/sport/articles/c79w4v771z5o","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8ad9/live/7fae32b0-6944-11ef-b1ff-237e43844635.jpg.webp","'Hard work and soul-searching' helps McGuire to gold","Britain's Stephen McGuire wins Paralympic boccia gold, defeating Colombia's Edilson Chica to win the BC4 men's individual title.","Disability Sport"
"https://www.bbc.com/news/articles/c3rd29q8q0go","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9fda/live/9e8560e0-6a94-11ef-b43e-6916dcba5cbf.jpg.webp","Para-rower 'wanted to make history' with gold win","She is the first woman to win a rowing gold at three Paralympic Games.","Hereford & Worcester"
"https://www.bbc.com/sport/disability-sport/live/cvg31kzk1ynt","","https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/3d9d/live/aa604020-6a2a-11ef-b970-9f202720b57a.jpg.webp","Relive Rogers' gold for GB on day six in Paris","Relive the action on day six as Faye Rogers' win increases ParalympicsGB's tally of gold medals so far in Paris to 30.",""
