"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cj9lm4vr0meo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/f663/live/7617bae0-7061-11ef-96c4-872b0d337c18.jpg.webp","Miles back as minister after ousting Gething","Ex-first minister Mark Drakeford also gets permanent job in Eluned Morgan's cabinet reshuffle.","Wales"
"https://www.bbc.com/news/articles/cx2g28w70zro","8 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/fe73/live/8e1a61b0-71ce-11ef-9a04-c909ef26ae00.jpg.webp","Airport tax proposed to improve assisted travel","Plans for a 70p charge will be on top of current tariffs and is likely to be passed on to customers.","Guernsey"
"https://www.bbc.com/news/articles/c0mn24xp443o","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ccbb/live/1f4f1620-6933-11ef-8c32-f3c2bc7494c6.jpg.webp","Ten Nigerian protesters charged with treason","Appearing in court, they all denied the charges in relation to last month's deadly demonstrations.","Africa"
"https://www.bbc.com/news/articles/cgl2xjxlz3xo","17 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/99da/live/e3bc9950-5c28-11ef-8c82-a952079c7936.jpg.webp","Trump and Harris battle over election’s biggest issue","Both US presidential candidates are trying to win voters over on their plans for the economy.","US & Canada"
"https://www.bbc.com/news/articles/cm2n00e3z87o","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f899/live/6ab9ef00-6ae5-11ef-bca3-61f7b73970e9.jpg.webp","Canada's NDP pulls support for Trudeau's Liberals","The end of a deal between the two parties puts Mr Trudeau's minority government at risk of falling in a non-confidence vote.","US & Canada"
"https://www.bbc.com/news/articles/c20l5plp7kzo","31 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ab70/live/af07c680-66b9-11ef-b970-9f202720b57a.jpg.webp","Protest, a punch and the Paralympics: Photos of the week","A selection of striking news photographs taken around the world this week.","In Pictures"
"https://www.bbc.com/news/articles/c4gd5nd5v1xo","1 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9704/live/20dd01d0-6872-11ef-8c32-f3c2bc7494c6.png.webp","Children die in building collapse after Nigeria flooding","Intense floods are battering the West African country - so far at least 179 people have died.","Africa"
"https://www.bbc.com/news/articles/ceq53wvpe5xo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/1d45/live/f643ea00-6fe3-11ef-b282-4535eb84fe4b.png.webp","Undecided Americans impressed by Harris - but did debate shift their votes?","We spoke to eight voters who see the debate as crucial in determining who they will support in November.","US & Canada"
"https://www.bbc.com/news/articles/c4ged3yg1ggo","1 day ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/53c4/live/35fa4c80-70f1-11ef-b02d-c5f3b724a1ea.jpg.webp","We'll prioritise NHS waits over reform, says Morgan","Eluned Morgan says ministers will focus on cutting waits for treatment before Welsh NHS reform plans.","Wales"
"https://www.bbc.com/news/articles/c3ej70lq88qo","23 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b887/live/8058b150-6132-11ef-b43e-6916dcba5cbf.jpg.webp","Two unions recommend NHS staff accept new pay deal","Almost 170,000 NHS staff have been offered the 5.5% pay increase for 2024-25, backdated to April.","Scotland"
"https://www.bbc.com/news/articles/c2l1qd1nwnjo","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/8c26/live/8c446c30-6f3c-11ef-b282-4535eb84fe4b.png.webp","Where Donald Trump stands on 10 key issues","From abortion to trade, here are his policy pledges as he runs for the White House for a third time.","US & Canada"
"https://www.bbc.com/news/articles/clywr60d2q7o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9dc1/live/530cef80-6abb-11ef-9a8d-e39146dafe03.jpg.webp","Unis float £12,500 fees as freshers pack for term","They say £12,500 tuition fees in England would meet costs but asking for that would seem ""clueless"".","Family & Education"
"https://www.bbc.com/news/articles/c89w4110n89o","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/ea1d/live/ee0929a0-7005-11ef-8c1a-df523ba43a9a.jpg.webp","Taylor Swift endorses Harris in post signed 'Childless Cat Lady'","The singer's choice of words nodded to comments made by Trump's running mate JD Vance.","US & Canada"
"https://www.bbc.com/news/articles/cdjw28pvrl9o","21 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1607/live/85b1d740-5fec-11ef-bc6c-3b9b357c3e28.jpg.webp","Bangladesh to raise rates, says new bank chief","Soaring prices have been a major concern for the country as its currency comes under pressure.","Business"
"https://www.bbc.com/news/articles/cm23x327nvwo","27 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c536/live/5c7f19c0-648b-11ef-881a-798c701679d4.jpg.webp","Scotland's fiscal outlook messy and 'painful'","Douglas Fraser looks at why budgets are so tight - and what the future holds.","Scotland"
"https://www.bbc.com/news/articles/cgl2r388rn5o","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/97f4/live/4359aab0-704c-11ef-b282-4535eb84fe4b.jpg.webp","City council to debate winter fuel payment cuts","A motion has been put forward to discuss pensioner winter fuel payment thresholds.","Hereford & Worcester"
"https://www.bbc.com/news/articles/c05j3q4mjv8o","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/0eeb/live/a1d0e180-706a-11ef-96c4-872b0d337c18.jpg.webp","Don't cut nature-friendly farm fund, urge Tories","The government is reportedly planning to cut £100m from a Tory fund to improve nature.","Politics"
"https://www.bbc.com/news/articles/cprq0lxge23o","29 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/803c/live/d83b2c10-4de9-11ef-8f0f-0577398c3339.jpg.webp","NI health staff ‘should get above inflation pay rises’","Two independent review bodies have recommended pay rises between 5.5%-6%.","Northern Ireland"
"https://www.bbc.com/news/articles/cd73zrj50qwo","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/687f/live/c29d9860-6528-11ef-be1a-47dbeb9bfccf.jpg.webp","Market project needs extra £2.4m","Darley Street Market in Bradford needs extra funding due to ""complexities of construction"".",""
"https://www.bbc.com/news/articles/c36n6jlz7gro","17 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/eea5/live/dff20f90-712b-11ef-a321-235a0ab5ef76.jpg.webp","Museums' security guards threaten strike action","Natural History and Science museum workers are balloting on whether to start industrial action next month.",""
"https://www.bbc.com/news/articles/cprq0lxge23o","29 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/803c/live/d83b2c10-4de9-11ef-8f0f-0577398c3339.jpg.webp","NI health staff ‘should get above inflation pay rises’","Two independent review bodies have recommended pay rises between 5.5%-6%.","Northern Ireland"
"https://www.bbc.com/news/articles/cd73zrj50qwo","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/687f/live/c29d9860-6528-11ef-be1a-47dbeb9bfccf.jpg.webp","Market project needs extra £2.4m","Darley Street Market in Bradford needs extra funding due to ""complexities of construction"".",""
