Date,Close/Last,Open,High,Low
02/22/2022,1409.92,1426.32,1466.13,1391.17
02/18/2022,1426.32,1435.38,1437.76,1414.30
02/17/2022,1435.38,1438.03,1451.91,1425.35
02/16/2022,1438.03,1427.25,1464.24,1427.25
02/15/2022,1427.25,1455.53,1455.53,1401.71
02/14/2022,1455.53,1489.13,1489.13,1440.63
02/11/2022,1489.13,1446.91,1492.16,1446.91
02/10/2022,1446.91,1450.36,1473.69,1438.08
02/09/2022,1450.36,1433.22,1460.87,1433.22
02/08/2022,1433.22,1464.55,1464.55,1421.94
02/07/2022,1464.55,1450.61,1478.48,1433.44
02/04/2022,1450.61,1424.03,1471.43,1424.03
02/03/2022,1424.03,1436.56,1436.56,1408.64
02/02/2022,1436.56,1427.83,1439.52,1405.26
02/01/2022,1427.83,1385.74,1431.24,1372.17
01/31/2022,1385.74,1382.38,1394.49,1359.77
01/28/2022,1382.38,1392.31,1401.90,1355.95
01/27/2022,1392.31,1375.06,1416.03,1367.94
01/26/2022,1375.06,1377.29,1405.16,1361.52
01/25/2022,1377.29,1324.05,1381.91,1295.94
01/24/2022,1324.05,1324.17,1329.22,1264.02
01/21/2022,1324.17,1355.63,1355.63,1310.10
01/20/2022,1355.63,1380.61,1398.11,1354.07
01/19/2022,1380.61,1388.16,1401.34,1366.76
01/18/2022,1388.16,1382.96,1408.05,1367.76
01/14/2022,1382.96,1347.76,1383.96,1347.76
01/13/2022,1347.76,1353.07,1365.38,1343.56
01/12/2022,1353.07,1342.52,1359.81,1341.57
01/11/2022,1342.52,1297.04,1344.68,1297.04
01/10/2022,1297.04,1301.17,1305.13,1279.69
01/07/2022,1301.17,1282.31,1302.54,1280.27
01/06/2022,1282.31,1247.92,1288.23,1247.92
01/05/2022,1247.92,1253.64,1280.14,1246.18
01/04/2022,1253.64,1212.90,1258.19,1212.90
01/03/2022,1212.90,1178.20,1213.92,1178.20
12/31/2021,1178.20,1176.80,1184.29,1172.52
12/30/2021,1176.80,1185.57,1194.32,1176.12
12/29/2021,1185.57,1193.64,1199.28,1181.43
12/28/2021,1193.64,1194.38,1205.68,1187.49
12/27/2021,1194.38,1166.89,1194.46,1152.63
12/23/2021,1166.89,1164.93,1182.73,1164.93
12/22/2021,1164.93,1159.90,1174.05,1147.02
12/21/2021,1159.90,1120.65,1162.43,1120.65
12/20/2021,1120.65,1134.87,1134.87,1092.88
12/17/2021,1134.87,1158.75,1158.75,1129.71
12/16/2021,1158.75,1150.29,1176.51,1150.29
12/15/2021,1150.29,1149.18,1154.46,1124.17
12/14/2021,1149.18,1153.31,1165.65,1146.32
12/13/2021,1153.31,1184.38,1184.38,1150.02
12/10/2021,1184.38,1177.11,1187.20,1169.46
12/09/2021,1177.11,1188.89,1188.89,1171.34
12/08/2021,1188.89,1185.75,1200.74,1185.75
12/07/2021,1185.75,1164.71,1197.64,1164.71
12/06/2021,1164.71,1143.11,1174.52,1143.11
12/03/2021,1143.11,1151.91,1169.89,1134.15
12/02/2021,1151.91,1116.17,1155.64,1111.75
12/01/2021,1116.17,1124.44,1161.58,1116.17
11/30/2021,1124.44,1144.14,1144.14,1119.01
11/29/2021,1144.14,1135.71,1171.11,1135.71
11/26/2021,1135.71,1187.02,1187.02,1113.43
