"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cjerw7jrl0lo","1 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a903/live/50fd60f0-4f52-11ef-bf56-bb9193a4e3dc.jpg.webp","Mortgage costs halved for mum who feared losing home","A support scheme has ""halved"" mortgage costs for mother who feared losing home.","Wales"
"https://www.bbc.com/news/articles/cw4yz4emgwko","31 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d511/live/0a6bf3b0-4eec-11ef-b131-236798ffd701.jpg.webp","Japan hikes interest rates for second time since 2007","The central bank  has put up its key rate to ""around 0.25%"" as it tries to ease rising prices.","Business"
"https://www.bbc.com/news/articles/c1d77xe2p26o","7 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ee91/live/d7436670-53fb-11ef-8a09-5fa1043056ff.png.webp","US stock markets rise after days of turmoil","Shares in the US opened higher but markets in the UK and Europe stayed down after a cautious open.","Business"
"https://www.bbc.com/news/articles/cgere5xpk5wo","6 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8a25/live/e3d82b00-50cc-11ef-b2d2-cdb23d5d7c5b.jpg.webp","The small African country with the world's highest suicide rate","A look at Lesotho, where more people take their own lives than anywhere else in the world.","Africa"
"https://www.bbc.com/sport/football/articles/c8xlle7752po","7 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/61ab/live/71634570-5313-11ef-aebc-6de4d31bf5cd.jpg.webp","Cardiff sign midfielder Robertson from Man City","Manchester City midfielder Alex Robertson is on his way to Cardiff City with the two clubs agreeing a deal worth up to £3m for the Australia international.","Championship"
"https://www.bbc.com/news/live/cx92wjll8k8t","","https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/cd5b/live/92055c10-4fe3-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Bank of England cuts interest rates to 5% in first drop since March 2020","The BoE's rate setting committee voted by a majority of five to four to reduce the rate for the first time since the start of the pandemic.",""
"https://www.bbc.com/sport/rugby-union/articles/c8vd3qpm50mo","30 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/66ed/live/bda7fa90-4dd5-11ef-b880-4f43cde1029c.jpg.webp","Scarlets' £2.6m loan extension bid goes to full council","Scarlets should discover in September if they have been granted a further 15-year extension by Carmarthenshire County Council to repay a £2.6m loan.","Scarlets"
"https://www.bbc.com/news/articles/cxe2842xr62o","1 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/424d/live/1e349890-4fd0-11ef-b8a6-c9027db4120d.jpg.webp","First-time buyers spending almost 40% of pay on mortgages","The Nationwide says first-time buyers are spending more take-home pay on mortgage repayments.","Business"
"https://www.bbc.com/news/articles/c06k0rm11xjo","1 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/16c4/live/aeb2d650-4fdc-11ef-a2b2-651941bfb3ca.jpg.webp","Harland & Wolff agrees new £19.5m loan","Meanwhile firm says it is closing its Isles of Scilly ferry service with immediate effect.","Northern Ireland"
"https://www.bbc.com/sport/football/articles/c6288g02dx4o","7 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0459/live/948177e0-547e-11ef-b3cc-a172bc0d9f64.jpg.webp","Ceballos and Diaz score as Real Madrid beat Chelsea","The Blues have only won one of their five pre-season matches amid defensive concerns that need resolving before the new season.","Chelsea"
"https://www.bbc.com/news/articles/cye0z14lr72o","31 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/de46/live/d5be7790-4e7e-11ef-b182-95a78bfd3638.jpg.webp","Healthcare strike looms in pay scale row","Unison says members have been routinely performed clinical tasks above their pay scale.","England"
"https://www.bbc.com/sport/football/articles/cdrlyg088r5o","14 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/566a/live/a7464bc0-595c-11ef-babd-c9f9720e8cad.jpg.webp","Premier League predictions: Who will finish where in 2024-25?","The new Premier League season starts on Friday - BBC Sport chief football writer Phil McNulty and BBC Sport fan writers predict who will finish where.","Premier League"
"https://www.bbc.com/news/articles/c134621devzo","4 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/54b0/live/50c49d40-523d-11ef-8f0f-0577398c3339.jpg.webp","Where have all the wasps gone?","Outdoor activities are usually plagued by wasps at this time of year, but 2024 has been different.","England"
"https://www.bbc.com/news/articles/cg33vw9939yo","31 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/fdca/live/33bd8940-4e7e-11ef-b182-95a78bfd3638.jpg.webp","Slimming jabs: 'I thought my body was shutting down'","BBC Investigations speaks to people damaged by illegal and often fake slimming drug injection kits.","England"
"https://www.bbc.com/news/articles/c3gdlmdmekzo","24 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/771b/live/36d68320-491a-11ef-a168-7982b5cfc27f.jpg.webp","Guernsey's inflation rate continues to fall","RPI inflation now stands at 2% lower than it was this time last year.",""
"https://www.bbc.com/news/articles/c0470j9l8kno","24 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e28a/live/8563da00-4911-11ef-a168-7982b5cfc27f.jpg.webp","Mortgage rate hopes as one lender offers below 4%","Lenders have been lowering their rates ahead of a hoped-for interest rate cut in August.","Business"
"https://www.bbc.com/future/article/20240802-why-do-underdogs-in-sports-and-politics-gain-support","4 Aug 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jg4n4x.jpg.webp","Why we love an underdog","From the US election to the Olympic Games, we often root for those considered disadvantaged. Why we do so may reveal more about ourselves than them.","Future"
"https://www.bbc.com/worklife/article/20240731-how-gen-z-became-so-nihilistic-about-money","31 Jul 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jfn2n3.jpg.webp","How Gen Z became so nihilistic about money","The ""buy everything, own nothing"" generation has seen the cost of living soar. They're ""vibing"" their way into adulthood, and some experts say they've got it right.","Worklife"
"https://www.bbc.com/news/articles/cn09g9j143no","30 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4dc2/live/c6c7ab90-4e96-11ef-b2d2-cdb23d5d7c5b.jpg.webp","The newest victims of Australia's homelessness crisis","Mary is a frail pensioner who is living out of her car after losing her rental property.","Australia"
"https://www.bbc.com/news/articles/cp6841e1weeo","25 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9758/live/388db670-4a82-11ef-a3ee-091330cb5880.jpg.webp","US economy picks up amid heated presidential campaign","Despite steady growth, the economy is a top concern for voters in the US presidential election.","US & Canada"
"https://www.bbc.com/news/articles/ck5gp185n6ro","25 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/94a9/live/0e474990-4a40-11ef-9745-9ba9cd6cec81.jpg.webp","Shares drop in US and Asia as AI stocks slide","Tech stocks lead declines as investors reconsider rally fuelled by artificial intelligence.","Business"
